,c_1,c_2,c_3,c_4,c_5,c_6,lcs_word,Class
0,0.39814814814814814,0.07906976744186046,0.009345794392523364,0.0,0.0,0.0,0.1917808219178082,0
1,1.0,0.9846938775510204,0.9641025641025641,0.9432989690721649,0.9222797927461139,0.9010416666666666,0.8207547169811321,1
2,0.8693693693693694,0.7194570135746606,0.6136363636363636,0.5159817351598174,0.44954128440366975,0.3824884792626728,0.8464912280701754,1
3,0.5935828877005348,0.26881720430107525,0.15675675675675677,0.10869565217391304,0.08196721311475409,0.06043956043956044,0.3160621761658031,1
4,0.5445026178010471,0.11578947368421053,0.031746031746031744,0.005319148936170213,0.0,0.0,0.24257425742574257,0
5,0.32950191570881227,0.05384615384615385,0.007722007722007722,0.003875968992248062,0.0,0.0,0.16117216117216118,0
6,0.5903083700440529,0.1504424778761062,0.035555555555555556,0.004464285714285714,0.0,0.0,0.30165289256198347,0
7,0.7653061224489796,0.7098976109215017,0.6643835616438356,0.6254295532646048,0.5896551724137931,0.5536332179930796,0.6217105263157895,1
8,0.7597765363128491,0.5056179775280899,0.3954802259887006,0.3068181818181818,0.24571428571428572,0.19540229885057472,0.484304932735426,1
9,0.8844444444444445,0.5267857142857143,0.34080717488789236,0.24774774774774774,0.18099547511312217,0.15,0.597457627118644,1
10,0.6190476190476191,0.25,0.11229946524064172,0.07526881720430108,0.043243243243243246,0.021739130434782608,0.42783505154639173,1
11,0.5161290322580645,0.07027027027027027,0.0,0.0,0.0,0.0,0.2708333333333333,0
12,0.44086021505376344,0.11891891891891893,0.02717391304347826,0.00546448087431694,0.0,0.0,0.22395833333333334,0
13,0.9794520547945206,0.9172413793103448,0.875,0.8321678321678322,0.7887323943661971,0.7446808510638298,0.9,1
14,0.9513888888888888,0.7972027972027972,0.676056338028169,0.5886524822695035,0.5214285714285715,0.45323741007194246,0.8940397350993378,1
15,0.9764705882352941,0.8579881656804734,0.75,0.6586826347305389,0.5783132530120482,0.503030303030303,0.8232044198895028,1
16,0.92,0.6756756756756757,0.5616438356164384,0.4722222222222222,0.39436619718309857,0.32857142857142857,0.775,1
17,0.8117647058823529,0.5562130177514792,0.42857142857142855,0.3473053892215569,0.28313253012048195,0.23636363636363636,0.45977011494252873,1
18,0.4411764705882353,0.030303030303030304,0.0,0.0,0.0,0.0,0.3055555555555556,0
